Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Community Involvement,Not Listed Communities,Associated Communities,Main Community,Community Scale,U.S. Born,State,Country,Years on Island:,Months on Island:,Stay on Island:,Feel Aloha Spirit,Hawaiian Culture,Residence,Education,Gender,Religious View,Sexuality,Relationship Status ,Age,Occupation,Other Occupation,ID
5/14/2025,5/14/2025,Survey Preview,,100,303,True,5/14/2025 0:15,R_65AgaamGfVxOhd7,,,,,21.3133,-157.823,preview,EN,"Acroyoga,Rock Climbing,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Art / Vending",,"Volley Ball,Fire Spinning,Surfing,Running,Calisthenics,Boating,Dance (salsa, zouk, hip hop, etc.),Art / Vending,Music Production (DJs, light production, etc.),Yoga,Paddling / Outrigger",Acroyoga,7.0,Yes,Florida,United States,1.0,,Yep.,Almost Always,A little,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Single,25 - 34,,,0
5/14/2025,5/14/2025,Survey Preview,,100,188,True,5/14/2025 0:27,R_7Dwjn0ZS4REgIZj,,,,,21.3513,-157.8725,preview,EN,"Fire Spinning,Bar Scene,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Theatre,Dance (salsa, zouk, hip hop, etc.),Art / Vending",,"Fire Spinning,Spiritual (meditations, retreats, etc.)",Fire Spinning,6.0,Yes,,United States,,,I'm still feeling it out... We'll see.,Sometimes,A moderate amount,Honolulu,Associates or technical degree,Female,Christian,Heterosexual,Single,35 - 44,Tech,,1
5/14/2025,5/14/2025,Survey Preview,,100,431,True,5/14/2025 0:27,R_54dFprQXvmkNOIw,,,,,21.2982,-157.8444,preview,EN,"Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Music (bands, live performances),Art / Vending,Yoga,Slackline / Highline",,"Acroyoga,Fire Spinning,Calisthenics",Art / Vending,1.0,Yes,Pennsylvania,United States,6.0,,Yep.,Almost Always,A lot,Honolulu,Bachelor’s degree,Male,Christian,Heterosexual,Single,25 - 34,Freelance,,2
5/16/2025,5/16/2025,Survey Preview,,100,223,True,5/16/2025 16:44,R_1q1X9JmySJ0KoFa,,,,,21.3513,-157.8725,preview,EN,"Acroyoga,Fire Spinning,Surfing",,"Volley Ball,LGBTQ,Rock Climbing,Dance (salsa, zouk, hip hop, etc.),Slackline / Highline,13",Surfing,5.0,Yes,Connecticut,United States,4.0,,I'm still feeling it out... We'll see.,Almost Always,A lot,Central Oahu,Bachelor’s degree,Female,Christian,Heterosexual,Taken - in a monogamous relationship,25 - 34,Military,,3
5/16/2025,5/16/2025,Survey Preview,,100,257,True,5/16/2025 17:24,R_63ifX3SvSKKFudr,,,,,21.2982,-157.8444,preview,EN,"Acroyoga,Other / I don't see a community listed here","Hiking, disc golf ","Volley Ball,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Calisthenics,Yoga,Slackline / Highline",Acroyoga,,Yes,Ohio,United States,2.0,,Nope.,Almost Always,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,"Agnostic, Atheist, or non-religious",Heterosexual,Taken - in a monogamous relationship,25 - 34,Medical Field / Healthcare,,4
5/16/2025,5/16/2025,Survey Preview,,100,256,True,5/16/2025 18:41,R_1Cj9usjUjiIY4O5,,,,,21.3513,-157.8725,preview,EN,"Acroyoga,Fire Spinning,Spiritual (meditations, retreats, etc.),Art / Vending,Yoga",,"Rock Climbing,Surfing,Running,Calisthenics,Boating,Dance (salsa, zouk, hip hop, etc.),Slackline / Highline,13",Acroyoga,5.0,Yes,New York,United States,2.0,,Yep.,Almost Always,A moderate amount,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Single,18 - 24,Business and Sales,,5
5/16/2025,5/16/2025,Survey Preview,,100,49,True,5/16/2025 18:57,R_1T9Fm2PPNXayFcl,,,,,21.3266,-157.8621,preview,EN,,,,,,,,United States,,,,,,,,,,,,,,,6
5/16/2025,5/16/2025,Survey Preview,,100,173,True,5/16/2025 19:00,R_15MBhmjgKFNn29k,,,,,21.3266,-157.8621,preview,EN,"Acroyoga,Volley Ball,Rock Climbing,Spiritual (meditations, retreats, etc.),Calisthenics,Yoga,Slackline / Highline",,Bar Scene,Acroyoga,6.0,Yes,Michigan,United States,5.0,,I'm still feeling it out... We'll see.,Sometimes,A little,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,"Agnostic, Atheist, or non-religious",Heterosexual,Single,35 - 44,Tech,,7
5/17/2025,5/17/2025,Survey Preview,,100,325,True,5/17/2025 21:20,R_59d5s6ehUtTje2B,,,,,21.2891,-157.8028,preview,EN,"Acroyoga,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Running,Yoga,13",,"Volley Ball,Music (bands, live performances),Music Production (DJs, light production, etc.),Slackline / Highline",Slackline / Highline,7.0,No,,France,3.0,,Yep.,Half of the time,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,Christian,Heterosexual,Single,35 - 44,Tech,,8
5/17/2025,5/17/2025,Survey Preview,,100,188,True,5/17/2025 21:25,R_5Op3IYBxg9DhLOI,,,,,21.3513,-157.8725,preview,EN,"LGBTQ,Fire Spinning,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Yoga",,"Acroyoga,Art / Vending,Music Production (DJs, light production, etc.)","Spiritual (meditations, retreats, etc.)",7.0,Yes,Ohio,United States,0.0,3.0,Yep.,Almost Always,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,Christian,Bisexual,Fluid - open to whatever happens,25 - 34,"Freelance,Research",,9
5/17/2025,5/17/2025,Survey Preview,,100,240,True,5/17/2025 21:26,R_6OOEfGUuvh6WNa5,,,,,21.3513,-157.8725,preview,EN,"LGBTQ,Fire Spinning,Rock Climbing,Music Production (DJs, light production, etc.),Yoga",,"Acroyoga,Free Diving / Scuba Diving,Surfing,Art / Vending","Music Production (Djs, light production, etc.)",10.0,Yes,Maryland,United States,16.0,,Yep.,Almost Always,A lot,Honolulu,Bachelor’s degree,Female,Christian,Gay,Single,25 - 34,Freelance,,10
5/17/2025,5/17/2025,Survey Preview,,100,291,True,5/17/2025 21:26,R_3r0oktnjnSOPs1P,,,,,21.3513,-157.8725,preview,EN,"Acroyoga,Poetry,Fire Spinning,Bar Scene,Spiritual (meditations, retreats, etc.),Boating,Music (bands, live performances),Yoga,Other / I don't see a community listed here,13",Business community / there’s a community of workers here in downtown Honolulu that Work for local corporate businesses etc. it’s like a mini NYC vibe !,"Volley Ball,LGBTQ,Rock Climbing,Free Diving / Scuba Diving,Surfing,Running,SurfBreak,Music Production (DJs, light production, etc.),Slackline / Highline","Spiritual (meditations, retreats, etc.)",5.0,Yes,New Jersey,United States,3.0,,I'm still feeling it out... We'll see.,Half of the time,A moderate amount,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Fluid - open to whatever happens,25 - 34,Marketing,,11
5/18/2025,5/18/2025,Survey Preview,,100,325,True,5/18/2025 20:02,R_61ZaGM13LuCTU3e,,,,,21.3133,-157.823,preview,EN,"LGBTQ,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Surfing,Yoga",,"Volley Ball,Poetry,Running,Music Production (DJs, light production, etc.)",Surfing,5.0,Yes,Utah,United States,3.0,,I'm still feeling it out... We'll see.,Sometimes,A lot,Honolulu,Bachelor’s degree,Female,"Agnostic, Atheist, or non-religious",Gay,Single,25 - 34,Business and Sales,,12
5/19/2025,5/19/2025,Survey Preview,,100,342,True,5/19/2025 18:38,R_7nCZb6J0ITcpjBT,,,,,21.3042,-157.8588,preview,EN,"Volley Ball,Fire Spinning,SurfBreak",,"Acroyoga,Volley Ball,LGBTQ,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,SurfBreak,Boating,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Slackline / Highline,13",SurfBreak,5.0,Yes,Illinois,United States,4.0,,Yep.,Almost Always,A lot,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,Christian,Heterosexual,Single,25 - 34,Tech,,13
5/23/2025,5/23/2025,Survey Preview,,100,446,True,5/23/2025 23:59,R_5LjzHzAHHvb8lgi,,,,,21.3133,-157.823,preview,EN,"Volley Ball,LGBTQ,Rock Climbing,Surfing,Boating,Dance (salsa, zouk, hip hop, etc.),Art / Vending",,"Free Diving / Scuba Diving,Music (bands, live performances),Yoga,Paddling / Outrigger,Other / I don't see a community listed here.","Dance (salsa, zouk, hip hop, etc.)",5.0,Yes,California,United States,2.0,,I'm still feeling it out... We'll see.,Almost Always,A moderate amount,Honolulu,Bachelor’s degree,Female,Christian,Bisexual,Single,25 - 34,Unemployed,,14
6/4/2025,6/4/2025,Survey Preview,,100,161,True,6/4/2025 0:48,R_3pAoJFoHARyWVqN,,,,,32.9993,-96.8346,preview,EN,"Acroyoga,Rock Climbing,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Yoga,13",,"Volley Ball,Fire Spinning,Surfing,Running,Calisthenics,Dance (salsa, zouk, hip hop, etc.),Music Production (DJs, light production, etc.),Slackline / Highline",Acroyoga,10.0,Yes,Texas,United States,6.0,,I'm still feeling it out... We'll see.,Sometimes,A great deal,Honolulu,Bachelor’s degree,Female,Christian,Heterosexual,Single,25 - 34,Medical Field / Healthcare,,15
6/4/2025,6/4/2025,Survey Preview,,100,225,True,6/4/2025 3:29,R_18UGFELPV8u6qIY,,,,,21.293,-157.8268,preview,EN,"Volley Ball,Rock Climbing,Surfing,SurfBreak,Boating,Paddling / Outrigger,13",,"Acroyoga,Fire Spinning,Free Diving / Scuba Diving,Music (bands, live performances),Art / Vending,Yoga,13",Surfing,10.0,No,,United States,8.0,,Yep.,Almost Always,A lot,Honolulu,Prefer not to say,Male,Christian,Heterosexual,Single,35 - 44,Military,,16
6/4/2025,6/4/2025,Survey Preview,,100,405,True,6/4/2025 3:51,R_7nT9pR0y6BkLDOy,,,,,21.3195,-157.8525,preview,EN,"Acroyoga,Rock Climbing,Spiritual (meditations, retreats, etc.),Running,Other / I don't see a community listed here",Aerial Silks,"LGBTQ,Fire Spinning,Free Diving / Scuba Diving,Surfing,Yoga,Slackline / Highline",Rock Climbing,7.0,Yes,California,United States,0.0,6.0,I'm still feeling it out... We'll see.,Almost Always,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,Christian,Heterosexual,Taken - in a monogamous relationship,25 - 34,Community and Social Services,,17
6/4/2025,6/4/2025,Survey Preview,,100,171,True,6/4/2025 4:12,R_1GCv2OBloKMBkM9,,,,,21.2817,-157.825,preview,EN,"Acroyoga,Fire Spinning,Spiritual (meditations, retreats, etc.)",,"Volley Ball,Rock Climbing,Running,Yoga",Acroyoga,5.0,Yes,Iowa,United States,4.0,,Yep.,Almost Always,A little,Honolulu,Bachelor’s degree,Male,Christian,Heterosexual,Taken - in a monogamous relationship,25 - 34,Tech,,18
6/4/2025,6/4/2025,Survey Preview,,100,136,True,6/4/2025 17:35,R_1zewPavWW3WYUjT,,,,,21.3571,-157.9258,preview,EN,"Volley Ball,Bar Scene,Surfing,Running,Dance (salsa, zouk, hip hop, etc.),Martial Arts",,Acroyoga,Martial Arts,6.0,No,,India,28.0,,Yep.,Half of the time,A moderate amount,Honolulu,Bachelor’s degree,Male,Christian,Heterosexual,Single,25 - 34,Tech,,19
6/5/2025,6/5/2025,Survey Preview,,100,280,True,6/5/2025 15:47,R_3dNd0e6pWiD9l9o,,,,,21.3133,-157.823,preview,EN,"Acroyoga,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Surfing,Spiritual (meditations, retreats, etc.),Yoga,13",,"Volley Ball,Bar Scene,SurfBreak,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Music Production (DJs, light production, etc.),Slackline / Highline","Spiritual (meditations, retreats, etc.)",9.0,Yes,California,United States,,,I'm still feeling it out... We'll see.,Almost Always,A moderate amount,Honolulu,Bachelor’s degree,Male,Christian,Heterosexual,Taken - in a monogamous relationship,35 - 44,Business and Sales,,20
6/15/2025,6/15/2025,Survey Preview,,100,260,True,6/15/2025 22:37,R_3e41NGGstAQyhCP,,,,,21.3513,-157.8725,preview,EN,"LGBTQ,Fire Spinning,Free Diving / Scuba Diving,Surfing,Dance (salsa, zouk, hip hop, etc.),13",,"Acroyoga,Spiritual (meditations, retreats, etc.),Boating,Music Production (DJs, light production, etc.),Yoga,Slackline / Highline",Fire Spinning,7.0,Yes,Pennsylvania,United States,16.0,,Yep.,Almost Always,A lot,North Shore,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,Christian,Bisexual,Polyamorous,35 - 44,"Full-time student,Community and Social Services,Research",,21
6/15/2025,6/15/2025,Survey Preview,,100,593,True,6/15/2025 22:42,R_3DuuJmussB6h3jn,,,,,21.3571,-157.9258,preview,EN,"Fire Spinning,Surfing,Spiritual (meditations, retreats, etc.),Running,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Yoga,Paddling / Outrigger",,"Acroyoga,Volley Ball,Poetry,Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Slackline / Highline",Fire Spinning,10.0,Yes,Delaware,United States,5.0,,Yep.,Almost Always,A moderate amount,North Shore,Bachelor’s degree,Female,Christian,Heterosexual,Fluid - open to whatever happens,35 - 44,"Hospitality (service industry, tourism, etc)",,22
6/15/2025,6/15/2025,Survey Preview,,100,136,True,6/15/2025 22:46,R_71SGoGjWAN5kTLv,,,,,21.3042,-157.8588,preview,EN,"LGBTQ,Fire Spinning,Bar Scene,Music (bands, live performances),Art / Vending,13",,"Acroyoga,Rock Climbing,Free Diving / Scuba Diving,Surfing,Spiritual (meditations, retreats, etc.),Running,SurfBreak,Theatre,Dance (salsa, zouk, hip hop, etc.),Martial Arts",Fire Spinning,10.0,Yes,Idaho,United States,5.0,,Nope.,Almost Always,A moderate amount,Honolulu,Associates or technical degree,Female,"Agnostic, Atheist, or non-religious",Pansexual,Single,25 - 34,"Hospitality (service industry, tourism, etc)",,23
10/22/2025,10/22/2025,Survey Preview,,100,603,True,10/22/2025 20:52,R_7el4XemM3zteBns,,,,,21.2891,-157.8028,preview,EN,"Acroyoga,Fire Spinning,Rock Climbing,Bar Scene,Surfing,Calisthenics,Boating,Music (bands, live performances),Martial Arts,Hiking,Business / Entreprenuership",,"LGBTQ,Poetry,Surfing,Yoga,Slackline / Highline,Tech",Fire Spinning,6.0,Yes,Illinois,United States,8.0,,I'm still feeling it out... We'll see.,Almost Always,A moderate amount,Honolulu,Bachelor’s degree,Male,Christian,Heterosexual,Single,25 - 34,"Unemployed,Construction,Hospitality (service industry, tourism, etc)",,24
10/25/2025,10/25/2025,Survey Preview,,100,144,True,10/25/2025 20:08,R_7FJduUGxaGnEeOg,,,,,21.3042,-157.8588,preview,EN,"Acroyoga,Rock Climbing,Spiritual (meditations, retreats, etc.),Running,Music (bands, live performances),Yoga,Martial Arts,Paddling / Outrigger,Hiking",,"Acroyoga,Rock Climbing,Running,Music (bands, live performances),Hiking",Running,4.0,Yes,California,United States,31.0,,I'm still feeling it out... We'll see.,Half of the time,A little,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,Christian,Heterosexual,Single,25 - 34,Education,,25
10/25/2025,10/25/2025,Survey Preview,,100,248,True,10/25/2025 21:14,R_1DSZqCji8tUrTCb,,,,,21.329,-158.0119,preview,EN,"Fire Spinning,Other / I don't see a community listed here,Business / Entreprenuership","Online Gaming, Pickleball","Acroyoga,LGBTQ,Free Diving / Scuba Diving,Surfing,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Theatre,Art / Vending,Music Production (DJs, light production, etc.),Yoga,Paddling / Outrigger,Slackline / Highline,Hiking",Fire Spinning,4.0,Yes,California,United States,11.0,,Yep.,Sometimes,A little,Central Oahu,Associates or technical degree,Male,Buddhist,Heterosexual,Single,25 - 34,Other,Commercial Refrigeration/HVAC,26
10/25/2025,10/25/2025,Survey Preview,,100,207,True,10/25/2025 23:26,R_3VJQzKxOaVwMSDy,,,,,21.2891,-157.8028,preview,EN,"LGBTQ,Spiritual (meditations, retreats, etc.)",,"Acroyoga,Volley Ball,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Surfing,Music (bands, live performances),Music Production (DJs, light production, etc.),Yoga,Slackline / Highline,Hiking",Fire Spinning,4.0,Yes,Massachusetts,United States,2.0,,Yep.,Almost Always,A moderate amount,Honolulu,"Some college, but no degree",Non-binary / third gender,Christian,Pansexual,Fluid - open to whatever happens,25 - 34,Unemployed,,27
10/26/2025,10/26/2025,Survey Preview,,100,17,True,10/26/2025 0:52,R_6fqiwB5cYrjpSxA,,,,,34.4129,-103.2199,preview,EN,,,,,,,,United States,,,,,,,,,,,,,,,28
10/26/2025,10/26/2025,Survey Preview,,100,163,True,10/26/2025 2:39,R_1Zz8xwLkmM0YuTD,,,,,21.3195,-157.8525,preview,EN,"Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Hiking,Business / Entreprenuership",,"Acroyoga,LGBTQ,Slackline / Highline",Fire Spinning,5.0,Yes,California,United States,18.0,,Yep.,,A great deal,Honolulu,Bachelor’s degree,Female,Christian,Bisexual,Taken - in a monogamous relationship,25 - 34,"Hospitality (service industry, tourism, etc)",,29
10/26/2025,10/26/2025,Survey Preview,,100,337,True,10/26/2025 5:34,R_1EW6teR0tLBbbop,,,,,21.3513,-157.8725,preview,EN,"LGBTQ,Fire Spinning,Rock Climbing,Surfing,Art / Vending,Music Production (DJs, light production, etc.),Yoga,Slackline / Highline",,"Acroyoga,Volley Ball,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Music Production (DJs, light production, etc.),Hiking",Slackline / Highline,9.0,Yes,California,United States,7.0,,I'm still feeling it out... We'll see.,Almost Always,A lot,Honolulu,"Some college, but no degree",Male,Christian,Bisexual,Polyamorous,35 - 44,"Freelance,Construction,Other","Art, fabrication ",30
10/27/2025,10/27/2025,Survey Preview,,100,209,True,10/27/2025 5:32,R_197dmAyVjkvjwWb,,,,,21.4535,-158.0193,preview,EN,"Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Running,Boating,Hiking",,"LGBTQ,Spiritual (meditations, retreats, etc.),Music (bands, live performances)",Hiking,7.0,Yes,Nebraska,United States,4.0,,I'm still feeling it out... We'll see.,Half of the time,A great deal,Central Oahu,"Some college, but no degree",Male,Christian,Heterosexual,Single,25 - 34,Military,,31
10/27/2025,10/27/2025,Survey Preview,,100,519,True,10/27/2025 11:14,R_68YYou1PXh9dsZx,,,,,34.0349,-117.6185,preview,EN,"Poetry,Fire Spinning,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Boating,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Yoga,Paddling / Outrigger,Other / I don't see a community listed here,Business / Entreprenuership,Pickle Ball","archery, clean up, fishing, spear fishing, kalo farm, church, car club, movie and book clubs","Acroyoga,LGBTQ,Bar Scene,Surfing,Running,Calisthenics,SurfBreak,Music (bands, live performances),Theatre,Slackline / Highline,Tech,Pickle Ball",Diving,10.0,Yes,Hawaii,United States,36.0,,I'm still feeling it out... We'll see.,,A great deal,Honolulu,Bachelor’s degree,Male,Christian,Heterosexual,Single,35 - 44,"Marketing,Freelance,Business and Sales",,32
10/27/2025,10/27/2025,Survey Preview,,100,221,True,10/27/2025 19:37,R_1g7VjDRWq34QeY6,,,,,21.3133,-157.823,preview,EN,"Acroyoga,Fire Spinning,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Boating,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Yoga,Hiking",,"LGBTQ,Poetry,Free Diving / Scuba Diving,Surfing,Art / Vending,Slackline / Highline",Fire Spinning,9.0,Yes,New York,United States,3.0,,I'm still feeling it out... We'll see.,Sometimes,A lot,Honolulu,Bachelor’s degree,Female,Christian,Fluid,Single,25 - 34,Business and Sales,,33
10/27/2025,10/27/2025,Survey Preview,,100,230,True,10/27/2025 23:49,R_7jI9k9MfjZ0qR7X,,,,,21.329,-158.0119,preview,EN,"LGBTQ,Fire Spinning,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Yoga,Hiking,Business / Entreprenuership",,"Acroyoga,Volley Ball,Poetry,Rock Climbing,Bar Scene,Surfing,Running,Calisthenics,SurfBreak,Boating,Theatre,Dance (salsa, zouk, hip hop, etc.),Art / Vending,Music Production (DJs, light production, etc.),Martial Arts,Slackline / Highline,Tech,Pickle Ball,Farming,Hunting",Fire Spinning,7.0,Yes,Hawaii,United States,31.0,,Yep.,,A lot,Central Oahu,Bachelor’s degree,Female,Spiritual,Pansexual,Single,25 - 34,"Unemployed,Other",Living loving life ,34
